County,Year,Asthma_ER_Rate_per_10k,Lyme_Disease_Incidence_per_10k,Heat_Illness_ER_Rate_per_10k
Belknap,2023,24.0,78.6,16.3
Belknap,2024,29.8,77.1,16.2
Belknap,2025,28.1,78.4,14.9
Carroll,2023,25.6,52.2,5.7
Carroll,2024,28.2,58.6,7.9
Carroll,2025,23.9,60.0,8.7
Cheshire,2023,32.0,35.0,6.3
Cheshire,2024,33.5,28.1,6.6
Cheshire,2025,35.2,36.2,7.2
Coos,2023,35.7,32.1,13.0
Coos,2024,37.9,42.6,13.4
Coos,2025,37.3,37.3,13.6
Grafton,2023,37.6,42.1,9.8
Grafton,2024,43.1,48.9,10.7
Grafton,2025,42.4,44.3,9.2
Hillsborough,2023,19.1,42.7,11.2
Hillsborough,2024,18.3,46.7,11.0
Hillsborough,2025,18.6,46.5,12.9
Merrimack,2023,37.3,49.3,11.4
Merrimack,2024,41.7,57.1,13.6
Merrimack,2025,40.1,48.2,13.6
Rockingham,2023,18.8,42.0,7.7
Rockingham,2024,17.7,43.0,8.3
Rockingham,2025,22.2,39.9,8.6
Strafford,2023,16.5,47.4,16.9
Strafford,2024,22.8,50.9,17.9
Strafford,2025,25.3,41.5,17.8
Sullivan,2023,47.0,68.2,8.8
Sullivan,2024,45.8,93.1,9.3
Sullivan,2025,47.8,83.6,9.1
